# Force coefficients
# liftDir : (0.000e+00 0.000e+00 1.000e+00)
# dragDir : (1.000e+00 0.000e+00 0.000e+00)
# pitchAxis: (0.000e+00 1.000e+00 0.000e+00)
# magUInf : 1.500e+01
# lRef    : 1.630e+00
# Aref    : 6.640e-01
# CofR    : (7.200e-01 0.000e+00 0.000e+00)
# Time    	Cm        	Cd        	Cl        	Cl(f)     	Cl(r)     
241       	2.349e-01	8.544e-01	-2.055e+00	-7.928e-01	-1.263e+00
242       	2.387e-01	8.555e-01	-2.072e+00	-7.975e-01	-1.275e+00
243       	2.418e-01	8.581e-01	-2.084e+00	-8.003e-01	-1.284e+00
244       	2.443e-01	8.611e-01	-2.096e+00	-8.035e-01	-1.292e+00
245       	2.469e-01	8.636e-01	-2.106e+00	-8.062e-01	-1.300e+00
246       	2.498e-01	8.654e-01	-2.113e+00	-8.068e-01	-1.306e+00
247       	2.535e-01	8.672e-01	-2.122e+00	-8.073e-01	-1.314e+00
248       	2.585e-01	8.701e-01	-2.131e+00	-8.071e-01	-1.324e+00
249       	2.627e-01	8.732e-01	-2.136e+00	-8.054e-01	-1.331e+00
250       	2.666e-01	8.761e-01	-2.137e+00	-8.017e-01	-1.335e+00
251       	2.687e-01	8.772e-01	-2.132e+00	-7.974e-01	-1.335e+00
252       	2.681e-01	8.765e-01	-2.127e+00	-7.956e-01	-1.332e+00
253       	2.662e-01	8.754e-01	-2.121e+00	-7.943e-01	-1.327e+00
254       	2.635e-01	8.751e-01	-2.113e+00	-7.928e-01	-1.320e+00
255       	2.604e-01	8.747e-01	-2.105e+00	-7.923e-01	-1.313e+00
256       	2.571e-01	8.740e-01	-2.096e+00	-7.911e-01	-1.305e+00
257       	2.532e-01	8.715e-01	-2.087e+00	-7.901e-01	-1.297e+00
258       	2.500e-01	8.679e-01	-2.081e+00	-7.906e-01	-1.291e+00
259       	2.461e-01	8.638e-01	-2.079e+00	-7.935e-01	-1.286e+00
260       	2.430e-01	8.616e-01	-2.080e+00	-7.971e-01	-1.283e+00
261       	2.411e-01	8.616e-01	-2.080e+00	-7.990e-01	-1.281e+00
262       	2.396e-01	8.632e-01	-2.078e+00	-7.994e-01	-1.279e+00
263       	2.381e-01	8.649e-01	-2.074e+00	-7.989e-01	-1.275e+00
264       	2.380e-01	8.654e-01	-2.072e+00	-7.977e-01	-1.274e+00
265       	2.384e-01	8.648e-01	-2.072e+00	-7.974e-01	-1.274e+00
266       	2.394e-01	8.641e-01	-2.076e+00	-7.984e-01	-1.277e+00
267       	2.407e-01	8.646e-01	-2.081e+00	-7.996e-01	-1.281e+00
268       	2.421e-01	8.665e-01	-2.084e+00	-7.998e-01	-1.284e+00
269       	2.446e-01	8.688e-01	-2.085e+00	-7.979e-01	-1.287e+00
270       	2.472e-01	8.699e-01	-2.085e+00	-7.953e-01	-1.290e+00
271       	2.500e-01	8.696e-01	-2.087e+00	-7.938e-01	-1.294e+00
272       	2.533e-01	8.685e-01	-2.092e+00	-7.929e-01	-1.300e+00
273       	2.574e-01	8.680e-01	-2.099e+00	-7.922e-01	-1.307e+00
274       	2.611e-01	8.688e-01	-2.106e+00	-7.918e-01	-1.314e+00
275       	2.650e-01	8.710e-01	-2.111e+00	-7.904e-01	-1.320e+00
276       	2.681e-01	8.724e-01	-2.114e+00	-7.888e-01	-1.325e+00
277       	2.708e-01	8.726e-01	-2.119e+00	-7.889e-01	-1.331e+00
278       	2.732e-01	8.719e-01	-2.128e+00	-7.911e-01	-1.337e+00
279       	2.745e-01	8.715e-01	-2.144e+00	-7.977e-01	-1.347e+00
280       	2.751e-01	8.718e-01	-2.157e+00	-8.034e-01	-1.354e+00
281       	2.753e-01	8.733e-01	-2.163e+00	-8.062e-01	-1.357e+00
282       	2.755e-01	8.757e-01	-2.167e+00	-8.081e-01	-1.359e+00
283       	2.760e-01	8.774e-01	-2.170e+00	-8.089e-01	-1.361e+00
284       	2.768e-01	8.783e-01	-2.168e+00	-8.073e-01	-1.361e+00
285       	2.783e-01	8.795e-01	-2.167e+00	-8.049e-01	-1.362e+00
286       	2.803e-01	8.817e-01	-2.162e+00	-8.005e-01	-1.361e+00
287       	2.811e-01	8.844e-01	-2.153e+00	-7.952e-01	-1.357e+00
288       	2.816e-01	8.870e-01	-2.140e+00	-7.885e-01	-1.352e+00
289       	2.816e-01	8.875e-01	-2.125e+00	-7.811e-01	-1.344e+00
290       	2.807e-01	8.856e-01	-2.115e+00	-7.769e-01	-1.338e+00
291       	2.791e-01	8.822e-01	-2.110e+00	-7.760e-01	-1.334e+00
292       	2.772e-01	8.780e-01	-2.108e+00	-7.770e-01	-1.331e+00
293       	2.747e-01	8.752e-01	-2.110e+00	-7.804e-01	-1.330e+00
294       	2.718e-01	8.737e-01	-2.112e+00	-7.840e-01	-1.328e+00
295       	2.687e-01	8.720e-01	-2.111e+00	-7.866e-01	-1.324e+00
296       	2.655e-01	8.696e-01	-2.107e+00	-7.880e-01	-1.319e+00
297       	2.634e-01	8.668e-01	-2.104e+00	-7.887e-01	-1.316e+00
298       	2.620e-01	8.631e-01	-2.103e+00	-7.895e-01	-1.313e+00
299       	2.610e-01	8.592e-01	-2.104e+00	-7.908e-01	-1.313e+00
300       	2.604e-01	8.562e-01	-2.105e+00	-7.919e-01	-1.313e+00
301       	2.604e-01	8.547e-01	-2.106e+00	-7.925e-01	-1.313e+00
302       	2.602e-01	8.542e-01	-2.107e+00	-7.934e-01	-1.314e+00
303       	2.600e-01	8.540e-01	-2.109e+00	-7.944e-01	-1.314e+00
304       	2.610e-01	8.537e-01	-2.111e+00	-7.943e-01	-1.316e+00
305       	2.623e-01	8.537e-01	-2.114e+00	-7.948e-01	-1.319e+00
306       	2.639e-01	8.549e-01	-2.121e+00	-7.964e-01	-1.324e+00
307       	2.651e-01	8.567e-01	-2.126e+00	-7.977e-01	-1.328e+00
